191,彭十六elf,新年快乐吖这个神仙滤镜...,169.3 万,1.8 万,7.5 万,2019-02-11 21:42:30.761250
192,圆圆,#十年挑战 十年前vs十...,169.1 万,3.0 万,2.9 万,2019-02-11 21:42:30.761250
193,黑人女婿伊博,你好小姨子！看不见我吗？...,168.9 万,1.4 万,1.0 万,2019-02-11 21:42:30.761250
194,GXX,今天吃馄饨遇见的。#美团,168.8 万,4.1 万,4.5 万,2019-02-11 21:42:30.761250
195,胡小绿,终于要火了，闭上左眼3D...,168.8 万,4.0 万,2.3 万,2019-02-11 21:42:30.761250
196,门生-,好看的皮囊千篇一律，@门...,167.7 万,5.1 万,7.8 万,2019-02-11 21:42:30.762252
197,papi酱,一个红包的流浪,167.2 万,1.3 万,1.4 万,2019-02-11 21:42:30.762252
198,吃不胖娘,男生掏钱的那一刻，像极了...,167.1 万,2.7 万,1.3 万,2019-02-11 21:42:30.762252
199,吃货汪@招财,馒头，今年最火的馒头了...,166.9 万,3.6 万,15.0 万,2019-02-11 21:42:30.762252
200,新知,网上有人笑话我对钱没兴趣...,164.7 万,3.9 万,10.1 万,2019-02-11 21:42:30.762252
201,红楼青衫,太酷了吧,163.6 万,5.7 万,5.0 万,2019-02-11 21:42:38.507353
202,TianYeeee_,我怎么有你洗澡的视频呢,163.6 万,7.2 万,20.0 万,2019-02-11 21:42:38.507353
203,胖胖,把小孩子吓哭了 大叔充满...,163.5 万,2.3 万,2242,2019-02-11 21:42:38.507353
204,文杰本人,我立志要成为校园猜歌第一...,163.5 万,9047,2.3 万,2019-02-11 21:42:38.507353
205,Yusheng,愿你三冬暖，愿你春不寒 ...,163.2 万,4.3 万,4.6 万,2019-02-11 21:42:38.507353
206,H,还记得上次牵他的手是什么...,161.9 万,6.3 万,10.8 万,2019-02-11 21:42:38.507353
207,.羊羊羊,婚礼倒计时还有44天...,161.5 万,8.1 万,5.1 万,2019-02-11 21:42:38.507353
208,G冷珺,在菜地了蹲了一会，隔壁村...,161.1 万,3.5 万,1.8 万,2019-02-11 21:42:38.507353
209,通哥,大年初一给长辈拜年了，磕...,160.9 万,4.8 万,2.9 万,2019-02-11 21:42:38.507353
210,韩韩,感谢你把我捡回来养大，没...,160.4 万,5.7 万,1834,2019-02-11 21:42:38.507353
211,黑妞Key Hung-,誰還不會撩一下，哼,160.4 万,4.8 万,3.7 万,2019-02-11 21:42:46.704863
212,嘉杰本人,反正他都不难受,160.3 万,3.1 万,3.5 万,2019-02-11 21:42:46.704863
213,。168的小姐姐,@。168的小姐姐的这个...,159.9 万,4.2 万,2.2 万,2019-02-11 21:42:46.704863
214,多余和毛毛姐,大年初五迎财神了，祝大家...,159.9 万,1.4 万,5934,2019-02-11 21:42:46.704863
215,猪头哼哈嘿,#岳云鹏 :如果有一天德...,159.7 万,7549,1.1 万,2019-02-11 21:42:46.704863
216,爽歪歪,这裤子质量得多好呀，万一...,159.2 万,2.8 万,1.3 万,2019-02-11 21:42:46.704863
217,痛痛痛,大家好 我会笑,158.9 万,4.4 万,6.2 万,2019-02-11 21:42:46.704863
218,绝地求生-小哪吒,哪位大神告诉我他是什么时...,158.6 万,4.0 万,4.0 万,2019-02-11 21:42:46.704863
219,陈三废gg,姐 我说的对吧,158.1 万,1.9 万,9333,2019-02-11 21:42:46.704863
220,顺意,@顺意发了一个抖音短视频...,157.6 万,5.5 万,8.6 万,2019-02-11 21:42:46.704863
221,杜业文,猪年大吉，新年快乐,157.0 万,2.1 万,2787,2019-02-11 21:42:54.378087
222,内双无双,#闺蜜 生存法则——遇弱...,156.9 万,2.1 万,1.3 万,2019-02-11 21:42:54.378087
223,厨娘小木（美食）,正月家里来客人了这样做，...,156.3 万,2.0 万,18.0 万,2019-02-11 21:42:54.378087
224,亦军（高能舞团）,#来福州dou有福 66...,156.2 万,2.2 万,1.5 万,2019-02-11 21:42:54.378087
225,彭十六elf,身材100分和脸100分...,156.0 万,4.7 万,1.2 万,2019-02-11 21:42:54.378087
226,hfw3,#鲸跃 top 1,155.7 万,3.9 万,5992,2019-02-11 21:42:54.378087
227,霍达传媒,超感人的父亲讲话,155.7 万,4.1 万,7.3 万,2019-02-11 21:42:54.378087
228,泺熙Nicolas,我媳妇把我爸当财神了，哈...,155.4 万,1.8 万,2006,2019-02-11 21:42:54.378087
229,Arrietty,#养生泡澡 泡个彩虹澡～...,155.1 万,2.7 万,3.0 万,2019-02-11 21:42:54.378087
230,Yang,#山西晋城 妈妈两屁股怼...,154.7 万,2.6 万,2.8 万,2019-02-11 21:42:54.378087
231,郭 聪 明,请全天下最好看的小哥哥小...,154.0 万,3.8 万,5359,2019-02-11 21:43:02.919411
232,财貌双全,心脏支架,153.4 万,3.7 万,7.2 万,2019-02-11 21:43:02.919411
233,皮皮虾APP,#皮皮虾今日好笑 #搞笑...,153.2 万,2.3 万,1.6 万,2019-02-11 21:43:02.919411
234,央央,假装会也得各种都到位啊！...,153.1 万,2.1 万,3.0 万,2019-02-11 21:43:02.919411
235,刺激战场 IF7,吃鸡的一百种死法之一.....,151.8 万,4.1 万,5.7 万,2019-02-11 21:43:02.919411
236,大胃王小鹿,挑战20000毫升巨无霸...,151.4 万,1.1 万,1.2 万,2019-02-11 21:43:02.919411
237,人品如牌品,猫咪给大家拜年，祝大家...,149.9 万,2.0 万,2.5 万,2019-02-11 21:43:02.919411
238,小辣椒,你们喜欢哪样的我,149.2 万,3.5 万,1.5 万,2019-02-11 21:43:02.919411
239,超皮优酷君,被赵四耐克嘴彻底迷住#...,148.8 万,3.2 万,11.2 万,2019-02-11 21:43:02.919411
240,我是你的小可爱．,要不要挑战一下全网最穷秘...,148.7 万,2.4 万,1.4 万,2019-02-11 21:43:02.919411
241,怪了个兽,请艾特出你身边如此优秀的...,148.5 万,2.8 万,4937,2019-02-11 21:43:11.506220
242,笑容太野,我爷爷厉害吧，百发百中，...,148.2 万,4.0 万,5095,2019-02-11 21:43:11.506220
